Video ID,Title,Size,Product Match,URL
"j81Igi4y8pE","Flex Grip 2P Long model by Orbit Couplings. 114.3mm EPDM/316 Stainless steel, PN40 rated. Pipe clamp","114.3mm","Flex Grip 2P Long (FlexGrip2PLong)","https://www.youtube.com/watch?v=j81Igi4y8pE"
"ZzbJpJhqVNo","88.9mm Encapsulating Pipe Repair Clamp - D Series - Orbit Couplings Australia - 87.0mm to 219.1mm.","88.9mm","Encapsulating Pipe Repair Clamp (ENCAPRC-SS)","https://www.youtube.com/watch?v=ZzbJpJhqVNo"
"4AQPvRwlbiY","630.0mm Open Flex 300-L by Orbit Couplings in Australia. Suit pipe OD size 630.0mm, and 300mm long.","630.0mm","Open Flex 300-L (OCOF300-L)","https://www.youtube.com/watch?v=4AQPvRwlbiY"
"-Oc5JZAjJH0","560.0mm Orbit Couplings Flex Grip 2 L EPDM/316SS PN9","560.0mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=-Oc5JZAjJH0"
"n1k_8GcsHHY","219.1mm Open Flex 200-L to suit pipe OD size of 219.1mm, by Orbit Couplings in Australia. Length 200","219.1mm","Open Flex 200-L (OCOF200-L)","https://www.youtube.com/watch?v=n1k_8GcsHHY"
"30rA2apzZFM","Orbit Couplings Open Flex 300-L model to suit 220.0mm OD pipe 20 bar rated, 30 Bar test pressure.","220.0mm","Open Flex 300-L (OCOF300-L)","https://www.youtube.com/watch?v=30rA2apzZFM"
"SJ5Ibk-muM8","Orbit Universal Dual Clamp - Ductile Iron pipe repair clamp - Heavy Duty","","Universal Dual Clamp (UDC)","https://www.youtube.com/watch?v=SJ5Ibk-muM8"
"Xm0wXH11nrE","500.0mm Open Flex 400-L. To suit pipe OD size 500.0mm and with a clamp length of 400mm. Orbit C","500.0mm","Open Flex 400-L (OCOF400-L)","https://www.youtube.com/watch?v=Xm0wXH11nrE"
"e_NDojKLRak","180.3mm Orbit Flex Grip 2 S rated PN16. Pipe couplings and clamps By Orbit Couplings in Australia","180.3mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=e_NDojKLRak"
"MbtPXwtJE50","Orbit Couplings Flex Grip 2 S 231.1mm","231.1mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=MbtPXwtJE50"
"0fuVelXmUMQ","Orbit Flex Grip 2 S 355.6mm pipe coupling ~ Orbit Pipe Couplings and Clamps Australia","355.6mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=0fuVelXmUMQ"
"HcHSWrGxwDU","Orbit Repair Clamp size 48.3mm x 100mm wide | Orbit Couplings Australia","48.3mm","Orbit Repair Clamp 100mm (OCRC100wide)","https://www.youtube.com/watch?v=HcHSWrGxwDU"
"qMP7I46zaKE","Orbit Repair Clamp 2 | Double Casing size 323.9mm x 300mm wide","323.9mm","Orbit Repair Clamp 300mm (OCRC300)","https://www.youtube.com/watch?v=qMP7I46zaKE"
"KHisoComvno","114.3mm Metal Lock L - Orbit Couplings","114.3mm","Metal Lock L (OCML-L)","https://www.youtube.com/watch?v=KHisoComvno"
"cMtEdPqz0kY","Flex Grip Open L - Orbit Couplings","","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=cMtEdPqz0kY"
"7Odvbmgc7Jg","Encapsulating Pipe Repair Clamp | Orbit Couplings Australia","","Encapsulating Pipe Repair Clamp (ENCAPRC-SS)","https://www.youtube.com/watch?v=7Odvbmgc7Jg"
"K39yAsBdb5g","315.0mm Flex Grip Open L | Orbit Couplings","315.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=K39yAsBdb5g"
"xIQ1-8v516o","280.0mm Flex Grip Open L | Orbit Couplings","280.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=xIQ1-8v516o"
"K5BVQGjFjpU","250.0mm Flex Grip Open L | Orbit Couplings","250.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=K5BVQGjFjpU"
"XYFkJc8yXaA","225.0mm Flex Grip Open L | Orbit Couplings","225.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=XYFkJc8yXaA"
"pkgr_q1fIbE","110.0mm Flex Grip Open L | Orbit Couplings","110.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=pkgr_q1fIbE"
"44VzKWjSGJ8","90.0mm Flex Grip Open L | Orbit Couplings","90.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=44VzKWjSGJ8"
"JLBKSYGCB-E","160.0mm Flex Grip Open L | Orbit Couplings","160.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=JLBKSYGCB-E"
"y1trgAG_KYs","200.0mm Orbit Repair Clamp x 300mm long","200.0mm","Orbit Repair Clamp 300mm (OCRC300)","https://www.youtube.com/watch?v=y1trgAG_KYs"
"2LvLMkJS0GY","133.0mm pipe coupling | Orbit Couplings Flex Grip S","133.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=2LvLMkJS0GY"
"kNVu-zUJ9T0","Orbit Flex Grip 2 L 585.0mm pipe coupling","585.0mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=kNVu-zUJ9T0"
"bSXu-OCqFSc","Orbit Flex Grip 2 S 400.0mm","400.0mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=bSXu-OCqFSc"
"V6DefwmNeS4","Orbit Repair Clamp 139.7mm","139.7mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=V6DefwmNeS4"
"yD4zYWItuew","Orbit Couplings Flex Grip 2 L 114.3mm","114.3mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=yD4zYWItuew"
"T29C_Orb2r4","88.9mm Orbit Repair clamp 400mm wide","88.9mm","Orbit Repair Clamp 400mm (OCRC400)","https://www.youtube.com/watch?v=T29C_Orb2r4"
"sUyxmHis4gg","114.3mm Flex Grip L pipe coupling | Orbit Couplings","114.3mm","Flex Grip L (OCFG-L)","https://www.youtube.com/watch?v=sUyxmHis4gg"
"g2MHEeNYOEQ","368.0mm Flex Grip S pipe coupling | Orbit Couplings","368.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=g2MHEeNYOEQ"
"ZgWn312aFM8","48.3mm pipe elbow repair clamp | Orbit Couplings","48.3mm","Elbow Repair Clamp (OCERC)","https://www.youtube.com/watch?v=ZgWn312aFM8"
"4hVELaH0LeM","60.3mm pipe elbow repair clamp | Orbit Couplings","60.3mm","Elbow Repair Clamp (OCERC)","https://www.youtube.com/watch?v=4hVELaH0LeM"
"gKumIZBxzJQ","76.1mm pipe elbow repair clamp | Orbit Couplings","76.1mm","Elbow Repair Clamp (OCERC)","https://www.youtube.com/watch?v=gKumIZBxzJQ"
"Izl2qIW4Be4","88.9mm pipe elbow repair clamp | Orbit Couplings","88.9mm","Elbow Repair Clamp (OCERC)","https://www.youtube.com/watch?v=Izl2qIW4Be4"
"6yL1x2oY3uM","114.3mm pipe elbow repair clamp | Orbit Couplings","114.3mm","Elbow Repair Clamp (OCERC)","https://www.youtube.com/watch?v=6yL1x2oY3uM"
"eSSeDh_di0s","273.0mm Orbit Couplings Flex Grip S","273.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=eSSeDh_di0s"
"Ivx-jpiawi4","168.3mm Orbit Repair Clamp | Orbit Couplings","168.3mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=Ivx-jpiawi4"
"Td-AeF_HXww","84.0mm Orbit repair clamp | Orbit Couplings","84.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=Td-AeF_HXww"
"NIVPuHxjeJY","79.5mm Orbit repair clamp | Orbit Couplings","79.5mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=NIVPuHxjeJY"
"AxrtcrRwfXw","76.1mm Orbit Repair Clamp | Orbit Couplings","76.1mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=AxrtcrRwfXw"
"KmgvHRrJkXw","75.0mm Orbit repair clamp | Orbit Couplings","75.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=KmgvHRrJkXw"
"N8rv9N0O4Qc","73.0mm Orbit repair clamp | Orbit Couplings","73.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=N8rv9N0O4Qc"
"CQGknanirvU","70.0mm Orbit Repair Clamp | Orbit Couplings","70.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=CQGknanirvU"
"aO3GPO14zQw","66.6mm Orbit repair clamp | Orbit Couplings","66.6mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=aO3GPO14zQw"
"AonHFT_1TG0","63.0mm Orbit Repair Clamp | Orbit Couplings","63.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=AonHFT_1TG0"
"6P1uv8uRHLQ","60.3mm Orbit Repair Clamp | Orbit Couplings","60.3mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=6P1uv8uRHLQ"
"12JzTmWWvRc","57.0mm Orbit repair clamp | Orbit Couplings Australia","57.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=12JzTmWWvRc"
"E0_Y51QU6ik","54.0mm Orbit repair clamp | Orbit Couplings Australia","54.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=E0_Y51QU6ik"
"ZM15liEFlsg","50.0mm Orbit repair clamp | Orbit Couplings Australia","50.0mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=ZM15liEFlsg"
"VRei4m3c3Ck","48.3mm Orbit repair clamp 55mm wide | Orbit Couplings Australia","48.3mm","Orbit Repair Clamp 55mm (OCRC55)","https://www.youtube.com/watch?v=VRei4m3c3Ck"
"pcDoCrtrtdM","400.0mm pipe coupling | Orbit Flex Grip S","400.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=pcDoCrtrtdM"
"icFpNFJmXis","243.0mm pipe coupling | Orbit Flex Grip S","243.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=icFpNFJmXis"
"QzYyqmGZ9Xw","141.3mm pipe coupling | Orbit Flex Grip S","141.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=QzYyqmGZ9Xw"
"4t8UYLsxM3U","88.9mm Orbit Repair Clamp | Orbit Couplings","88.9mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=4t8UYLsxM3U"
"hG3xyRt0z0Q","168.3mm Orbit Flex Grip Open L","168.3mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=hG3xyRt0z0Q"
"RTKKD85xdWo","88.9mm Orbit Flex Grip Open L","88.9mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=RTKKD85xdWo"
"-CeT0rnRDBk","323.9mm Orbit Flex Grip Open 2 L","323.9mm","","https://www.youtube.com/watch?v=-CeT0rnRDBk"
"umIYqcOa34w","250.0mm Plast Coupling by Orbit Couplings","250.0mm","Plast Coupling (OCPC)","https://www.youtube.com/watch?v=umIYqcOa34w"
"GzxZh6be2Zo","406.4mm pipe coupling by Orbit Couplings Australia","406.4mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=GzxZh6be2Zo"
"KHkzBi3aIdE","355.6mm pipe coupling by Orbit Couplings Australia","355.6mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=KHkzBi3aIdE"
"nWRk4HQ2uUk","762.0mm pipe coupling | Orbit Couplings Australia","762.0mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=nWRk4HQ2uUk"
"pH2GGGbARPM","100.9mm pipe coupling | Orbit Couplings Australia","100.9mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=pH2GGGbARPM"
"6hIlER9brEU","335.9mm pipe coupling | Orbit Couplings Australia","335.9mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=6hIlER9brEU"
"fg1TMbTNZts","418.4mm pipe coupling | ORBIT COUPLINGS","418.4mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=fg1TMbTNZts"
"YdsWp-ba1L0","Orbit Flex Grip Open S 231.1mm coupling","231.1mm","Flex Grip Open S (OCFGO-S)","https://www.youtube.com/watch?v=YdsWp-ba1L0"
"Uy7au488-k0","219.1mm Orbit Pipe Repair Clamp","219.1mm","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=Uy7au488-k0"
"EEhU2EZc9uA","105.0mm pipe coupling Metal Lock S | ORBIT COUPLINGS","105.0mm","Metal Lock S (OCML-S)","https://www.youtube.com/watch?v=EEhU2EZc9uA"
"GZ8oE70yTXU","159.0mm pipe coupling Metal Lock L | ORBIT COUPLINGS","159.0mm","Metal Lock L (OCML-L)","https://www.youtube.com/watch?v=GZ8oE70yTXU"
"AVeiQHUmMwk","457.2mm Metal Lock S pipe coupling | ORBIT COUPLINGS","457.2mm","Metal Lock S (OCML-S)","https://www.youtube.com/watch?v=AVeiQHUmMwk"
"ewArOaNvrb4","508.0mm Metal Lock S pipe coupling | ORBIT COUPLINGS","508.0mm","Metal Lock S (OCML-S)","https://www.youtube.com/watch?v=ewArOaNvrb4"
"Ljeh5AHQgI8","323.9mm Metal Lock S | ORBIT COUPLINGS","323.9mm","Metal Lock S (OCML-S)","https://www.youtube.com/watch?v=Ljeh5AHQgI8"
"wkHM5SQiZdg","503.0mm pipe coupling | ORBIT COUPLINGS","503.0mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=wkHM5SQiZdg"
"3zcwg_p2z2k","Elbow Repair Clamp Type 2 | ORBIT COUPLINGS","","Elbow Repair Clamp Type 2 (OCELBRC)","https://www.youtube.com/watch?v=3zcwg_p2z2k"
"0PK4Yczgw3U","Elbow Repair Clamp Type 1 | ORBIT COUPLINGS","","Elbow Repair Clamp Type 1 (OCERC)","https://www.youtube.com/watch?v=0PK4Yczgw3U"
"pGsiLWQ5lTc","60.3mm pipe coupling | ORBIT COUPLINGS","60.3mm","Pipe Coupling (generic) (UNKNOWN)","https://www.youtube.com/watch?v=pGsiLWQ5lTc"
"-QmB6IEJ3eM","Orbit Repair Clamp | Seal leaks in pipes effectively","","Orbit Repair Clamp (OCRC)","https://www.youtube.com/watch?v=-QmB6IEJ3eM"
"QkIi9G5VkhI","177mm pipe coupling | Orbit Flex Grip 2 L","177mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=QkIi9G5VkhI"
"fvrqb7Kynns","259mm pipe coupling | Orbit Flex Grip 2 L","259mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=fvrqb7Kynns"
"-VsBwhB7mbA","150mm Flex Grip Open L | ORBIT COUPLINGS","150mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=-VsBwhB7mbA"
"CQwUmfww_64","350.0mm Flex Grip 2 L | ORBIT COUPLINGS","350.0mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=CQwUmfww_64"
"IsWBYOqbkl4","141.3mm pipe coupling Flex Grip S | ORBIT COUPLINGS","141.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=IsWBYOqbkl4"
"imuMXjNC1K8","139.7mm pipe coupling Flex Grip S | ORBIT COUPLINGS","139.7mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=imuMXjNC1K8"
"sUjiGf8LbFo","140.0mm pipe coupling Flex Grip S | ORBIT COUPLINGS","140.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=sUjiGf8LbFo"
"GMlOAafIniM","127.0mm pipe coupling Flex Grip S | ORBIT COUPLINGS","127.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=GMlOAafIniM"
"7JX8VW53Z1A","469.0mm pipe coupling Flex Grip S | ORBIT COUPLINGS","469.0mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=7JX8VW53Z1A"
"v9P7cQW66wU","126.3mm pipe coupling Flex Grip S | ORBIT COUPLINGS","126.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=v9P7cQW66wU"
"QdwN94vqorE","110mm pipe coupling Flex Grip S | ORBIT COUPLINGS","110mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=QdwN94vqorE"
"xDGnYRfNX7I","26.7mm pipe coupling Flex Grip S | ORBIT COUPLINGS","26.7mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=xDGnYRfNX7I"
"0-S7U35W9WM","180.3mm pipe coupling Flex Grip S | Orbit Couplings","180.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=0-S7U35W9WM"
"9BtB63x4Gwg","231.1mm pipe coupling Flex Grip S | Orbit Couplings","231.1mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=9BtB63x4Gwg"
"Gzsxku8ijcc","280mm pipe coupling Flex Grip S | ORBIT COUPLINGS","280mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=Gzsxku8ijcc"
"udsrPE3kILU","285mm pipe coupling Flex Grip S | Orbit Couplings","285mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=udsrPE3kILU"
"m660Dv0M_qc","88.9mm pipe coupling Flex Grip S | ORBIT COUPLINGS","88.9mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=m660Dv0M_qc"
"j6C4K2tA3ew","290mm Flex Grip Open S | ORBIT COUPLINGS","290mm","Flex Grip Open S (OCFGO-S)","https://www.youtube.com/watch?v=j6C4K2tA3ew"
"hCKGRmYVpW0","Buy the best couplings and clamps for your pipe | ORBIT COUPLINGS","","","https://www.youtube.com/watch?v=hCKGRmYVpW0"
"rNEvt2Y8fhs","Combo Lock Pipe Coupling by ORBIT COUPLINGS","","Combo Lock (OCCL)","https://www.youtube.com/watch?v=rNEvt2Y8fhs"
"yHprph4YeOo","160mm Pipe Coupling | Plast Coupling | ORBIT COUPLINGS","160mm","Plast Coupling (OCPC)","https://www.youtube.com/watch?v=yHprph4YeOo"
"ctiUyjr2p2I","Pipe repair solutions with clamps | http://orbitcouplings.com.au/","","","https://www.youtube.com/watch?v=ctiUyjr2p2I"
"aWJGN4mKYRw","114.3mm Flex Grip 2 L | ORBIT COUPLINGS","114.3mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=aWJGN4mKYRw"
"emWNSIvONzc","114.3mm Flex Grip Open L | ORBIT COUPLINGS","114.3mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=emWNSIvONzc"
"iTK4TcIyGFM","114.3mm pipe coupling Flex Grip S | ORBIT COUPLINGS","114.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=iTK4TcIyGFM"
"Jb6wCkvh4A0","168.3mm pipe coupling Flex Grip S | ORBIT COUPLINGS | http://orbitcouplings.com.au/","168.3mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=Jb6wCkvh4A0"
"HyZgIqZP8SQ","219.1mm pipe coupling Flex Grip S | ORBIT COUPLINGS","219.1mm","Flex Grip S (OCFG-S)","https://www.youtube.com/watch?v=HyZgIqZP8SQ"